Name,Population,knownNames
Mandla,1323272.832,Mandla
Mandsaur,1681411.558,Mandsaur
Mandya,2265156.634,Mandya
Mansa,965575.6544,Mansa
Mathura,3195187.61,Mathura
Mau,2767166.259,Mau
Mayurbhanj,3160759.347,Mayurbhanj
Medak,3804956.467,Medak
Meerut,4319763.482,Meerut
Mewat ,1366371.507,Mewat 
Mirzapur,3132199.168,Mirzapur
Moga,1249063.782,Moga
Mokokchung,244133.8368,Mokokchung
Mon,313926.144,Mon
Moradabad,5986004.326,Moradabad
Morena,2466112.768,Morena
Morigaon,1200991.411,Morigaon
Muktsar,1131338.342,Muktsar
Mumbai,3870339.558,Mumbai
Mumbai Suburban,11737373.13,Mumbai Suburban
Munger,1715724.416,Munger
Murshidabad ,8911015.501,Murshidabad 
Muzaffarnagar,5197621.453,Muzaffarnagar
Muzaffarpur,6022452.173,Muzaffarpur
Mysore,3764613.709,Mysore
Nabarangapur ,1531554.662,Nabarangapur 
Nadia ,6482237.44,Nadia 
Nagaon,3542134.579,Nagaon
Nagapattinam  ,2027674.88,Nagapattinam  
Nagaur,4149232.819,Nagaur
Nagpur,5837438.208,Nagpur
Nainital,1197456.512,Nainital
Nalanda,3609727.923,Nalanda
Nalbari,967943.9616,Nalbari
Nalgonda,4376362.01,Nalgonda
Namakkal   ,2165848.294,Namakkal   
Nanded,4216404.685,Nanded
Nandurbar,2067621.248,Nandurbar
Narayanpur,175390.208,Narayanpur
Narmada,740468.5568,Narmada
Narsimhapur,1369621.658,Narsimhapur
Nashik,7660855.373,Nashik
Navsari  ,1667940.557,Navsari  
Nawada,2783696.742,Nawada
Nayagarh  ,1207722.522,Nayagarh  
Neemuch ,1036218.445,Neemuch 
New Delhi,178129.8176,"New Delhi,Central Delhi,East Delhi,North Delhi,North East Delhi,North West Delhi,South Delhi,South East Delhi,South East Delhi,South West Delhi,West Delhi"
Nicobars,46214.6048,Nicobars
Nizamabad,3200394.624,Nizamabad
North,1113879.603,North
North  and Middle Andaman,132460.8768,North  & Middle Andaman
North  District,54828.5696,North  District
North East,2811893.146,North East
North Goa,1026109.235,North Goa
North Tripura,870487.1168,North Tripura
North 24 Parganas,12556269.29,North Twenty Four Parganas
North West,4586762.522,North West
Nuapada,765663.1808,Nuapada
Osmanabad,2079263.334,Osmanabad
